A	B	condition
8.7	9.2	neg
10.4	8.7	neg
8.3	13.5	neg
13.2	12.8	neg
10.7	6.6	neg
8.4	6.5	neg
11	11.8	neg
11.5	13.8	neg
11.2	9.4	neg
9.4	14.4	neg
13	12	neg
10.8	6.9	neg
8.8	11.7	neg
5.6	4.4	neg
12.2	17.2	neg
9.9	19.9	neg
10	8.2	neg
11.9	4.8	neg
11.6	12.8	neg
11.2	9.3	neg
17.8	44.2	pos
17.3	24.7	pos
15.2	30.5	pos
9	25.2	pos
16.9	19.1	pos
14.8	26.5	pos
14.5	10.6	pos
10.6	36.7	pos
13.6	26.2	pos
16.3	42.4	pos
19.1	28.8	pos
14.7	19.3	pos
16.2	29.9	pos
14.8	17.5	pos
10.9	15	pos
13.8	27.3	pos
13.8	21.5	pos
14.8	25	pos
18.3	25.6	pos
17.3	20.3	pos
