time	cond	rat	values
0	Placebo	1	100
1	Placebo	1	79.8
2	Placebo	1	68.2
3	Placebo	1	59.6
4	Placebo	1	53.5
5	Placebo	1	49.5
6	Placebo	1	45.5
7	Placebo	1	41.4
8	Placebo	1	36.4
9	Placebo	1	32.3
10	Placebo	1	29.8
11	Placebo	1	26.8
12	Placebo	1	24.2
13	Placebo	1	22.2
14	Placebo	1	20.2
0	Pinacidil	1	100
1	Pinacidil	1	42.7
2	Pinacidil	1	29.9
3	Pinacidil	1	19.7
4	Pinacidil	1	12.8
5	Pinacidil	1	10.7
6	Pinacidil	1	9.4
7	Pinacidil	1	8.5
8	Pinacidil	1	8.1
9	Pinacidil	1	7.7
10	Pinacidil	1	7.3
11	Pinacidil	1	7.7
12	Pinacidil	1	7.7
13	Pinacidil	1	7.7
14	Pinacidil	1	7.7
0	Placebo	2	100
1	Placebo	2	81.2
2	Placebo	2	70.8
3	Placebo	2	63.1
4	Placebo	2	58.1
5	Placebo	2	53.1
6	Placebo	2	50.8
7	Placebo	2	45.4
8	Placebo	2	40.8
9	Placebo	2	37.7
10	Placebo	2	34.2
11	Placebo	2	29.6
12	Placebo	2	27.7
13	Placebo	2	26.5
14	Placebo	2	26.2
0	Pinacidil	2	100
1	Pinacidil	2	79
2	Pinacidil	2	66.4
3	Pinacidil	2	50.4
4	Pinacidil	2	42.9
5	Pinacidil	2	37.8
6	Pinacidil	2	34.5
7	Pinacidil	2	31.9
8	Pinacidil	2	31.1
9	Pinacidil	2	29.8
10	Pinacidil	2	28.2
11	Pinacidil	2	28.2
12	Pinacidil	2	26.1
13	Pinacidil	2	26.1
14	Pinacidil	2	24.4
0	Placebo	3	100
1	Placebo	3	66.7
2	Placebo	3	56.3
3	Placebo	3	52.4
4	Placebo	3	46.4
5	Placebo	3	40.1
6	Placebo	3	34.5
7	Placebo	3	30.2
8	Placebo	3	26.2
9	Placebo	3	23
10	Placebo	3	20.6
11	Placebo	3	19
12	Placebo	3	18.3
13	Placebo	3	18.3
14	Placebo	3	18.3
0	Pinacidil	3	100
1	Pinacidil	3	64.2
2	Pinacidil	3	48.8
3	Pinacidil	3	39.8
4	Pinacidil	3	30.9
5	Pinacidil	3	25.6
6	Pinacidil	3	22
7	Pinacidil	3	21.1
8	Pinacidil	3	20.3
9	Pinacidil	3	18.7
10	Pinacidil	3	17.5
11	Pinacidil	3	16.7
12	Pinacidil	3	15.4
13	Pinacidil	3	15
14	Pinacidil	3	15
0	Placebo	4	100
1	Placebo	4	64.3
2	Placebo	4	48.4
3	Placebo	4	37.7
4	Placebo	4	31.6
5	Placebo	4	29.5
6	Placebo	4	27
7	Placebo	4	23.8
8	Placebo	4	20.5
9	Placebo	4	17.6
10	Placebo	4	15.6
11	Placebo	4	13.9
12	Placebo	4	12.7
13	Placebo	4	11.5
14	Placebo	4	11.1
0	Pinacidil	4	100
1	Pinacidil	4	47.6
2	Pinacidil	4	30.6
3	Pinacidil	4	21
4	Pinacidil	4	17.3
5	Pinacidil	4	16.5
6	Pinacidil	4	15.3
7	Pinacidil	4	14.5
8	Pinacidil	4	12.9
9	Pinacidil	4	12.9
10	Pinacidil	4	11.7
11	Pinacidil	4	10.9
12	Pinacidil	4	10.9
13	Pinacidil	4	12.5
14	Pinacidil	4	10.9
0	Placebo	5	100
1	Placebo	5	81.5
2	Placebo	5	69.8
3	Placebo	5	62.5
4	Placebo	5	56.5
5	Placebo	5	54
6	Placebo	5	50
7	Placebo	5	45.2
8	Placebo	5	41.5
9	Placebo	5	37.1
10	Placebo	5	29.8
11	Placebo	5	27.4
12	Placebo	5	26.6
13	Placebo	5	25.4
14	Placebo	5	23.4
0	Pinacidil	5	100
1	Pinacidil	5	88.1
2	Pinacidil	5	77.9
3	Pinacidil	5	63.9
4	Pinacidil	5	46.7
5	Pinacidil	5	38.9
6	Pinacidil	5	30.7
7	Pinacidil	5	25.8
8	Pinacidil	5	22.1
9	Pinacidil	5	19.7
10	Pinacidil	5	18
11	Pinacidil	5	16.4
12	Pinacidil	5	15.6
13	Pinacidil	5	15.2
14	Pinacidil	5	14.8
0	Placebo	6	100
1	Placebo	6	78.9
2	Placebo	6	65.6
3	Placebo	6	56.3
4	Placebo	6	47.7
5	Placebo	6	40.2
6	Placebo	6	37.5
7	Placebo	6	32
8	Placebo	6	29.3
9	Placebo	6	27
10	Placebo	6	21.9
11	Placebo	6	19.9
12	Placebo	6	18
13	Placebo	6	17.6
14	Placebo	6	17.2
0	Pinacidil	6	100
1	Pinacidil	6	83.7
2	Pinacidil	6	74.3
3	Pinacidil	6	69.3
4	Pinacidil	6	59.9
5	Pinacidil	6	53.7
6	Pinacidil	6	49
7	Pinacidil	6	44.4
8	Pinacidil	6	40.1
9	Pinacidil	6	36.6
10	Pinacidil	6	33.5
11	Pinacidil	6	31.1
12	Pinacidil	6	28.8
13	Pinacidil	6	27.2
14	Pinacidil	6	25.3
0	Placebo	7	100
1	Placebo	7	96.3
2	Placebo	7	86.9
3	Placebo	7	76.6
4	Placebo	7	71.5
5	Placebo	7	60.7
6	Placebo	7	56.1
7	Placebo	7	50.5
8	Placebo	7	45.3
9	Placebo	7	39.3
10	Placebo	7	33.6
11	Placebo	7	29
12	Placebo	7	26.2
13	Placebo	7	23.8
14	Placebo	7	21
0	Pinacidil	7	100
1	Pinacidil	7	82.5
2	Pinacidil	7	73
3	Pinacidil	7	61.5
4	Pinacidil	7	51.5
5	Pinacidil	7	46
6	Pinacidil	7	41
7	Pinacidil	7	35.5
8	Pinacidil	7	31
9	Pinacidil	7	28.5
10	Pinacidil	7	25
11	Pinacidil	7	23
12	Pinacidil	7	21.5
13	Pinacidil	7	20
14	Pinacidil	7	19
