drug	animal	time	dist
Control	24	15	476
Control	25	15	512
Control	26	15	215
Control	27	15	578
Control	28	15	525
Control	29	15	215
Control	30	15	146
Control	31	15	313
Control	32	15	684
Control	33	15	293
Control	34	15	101
Control	35	15	738
Control	36	15	44
Control	37	15	880
Control	38	15	2170
Control	39	15	78
Control	40	15	720
Control	41	15	316
Control	42	15	842
Control	43	15	354
Control	44	15	410
Control	45	15	1512
Control	46	15	216
Drug	71	15	252
Drug	72	15	91
Drug	73	15	235
Drug	74	15	1733
Drug	75	15	31
Drug	76	15	590
Drug	77	15	511
Drug	78	15	328
Drug	79	15	117
Drug	80	15	481
Drug	81	15	161
Drug	82	15	280
Drug	83	15	494
Drug	84	15	113
Drug	85	15	917
Drug	86	15	184
Drug	87	15	1540
Drug	88	15	410
Drug	89	15	1000
Drug	90	15	1571
Drug	91	15	1106
Drug	92	15	796
Drug	93	15	66
Drug	94	15	2475
Control	24	30	697
Control	25	30	1098
Control	26	30	87
Control	27	30	39
Control	28	30	453
Control	29	30	210
Control	30	30	183
Control	31	30	122
Control	32	30	964
Control	33	30	225
Control	34	30	52
Control	35	30	97
Control	36	30	9
Control	37	30	435
Control	38	30	885
Control	39	30	29
Control	40	30	1932
Control	41	30	1027
Control	42	30	7
Control	43	30	293
Control	44	30	2790
Control	45	30	524
Control	46	30	435
Drug	71	30	2328
Drug	72	30	0
Drug	73	30	591
Drug	74	30	2665
Drug	75	30	67
Drug	76	30	758
Drug	77	30	1975
Drug	78	30	139
Drug	79	30	545
Drug	80	30	233
Drug	81	30	321
Drug	82	30	507
Drug	83	30	139
Drug	84	30	291
Drug	85	30	1718
Drug	86	30	466
Drug	87	30	6496
Drug	88	30	690
Drug	89	30	1429
Drug	90	30	5020
Drug	91	30	9902
Drug	92	30	7707
Drug	93	30	70
Drug	94	30	12615
Control	24	45	1429
Control	25	45	2963
Control	26	45	273
Control	27	45	126
Control	28	45	204
Control	29	45	367
Control	30	45	445
Control	31	45	186
Control	32	45	1576
Control	33	45	422
Control	34	45	12
Control	35	45	31
Control	36	45	22
Control	37	45	598
Control	38	45	2990
Control	39	45	29
Control	40	45	2251
Control	41	45	740
Control	42	45	17
Control	43	45	32
Control	44	45	4178
Control	45	45	184
Control	46	45	832
Drug	71	45	6504
Drug	72	45	19
Drug	73	45	1429
Drug	74	45	4799
Drug	75	45	88
Drug	76	45	783
Drug	77	45	6186
Drug	78	45	649
Drug	79	45	1254
Drug	80	45	637
Drug	81	45	333
Drug	82	45	187
Drug	83	45	110
Drug	84	45	359
Drug	85	45	4764
Drug	86	45	303
Drug	87	45	8377
Drug	88	45	629
Drug	89	45	133
Drug	90	45	3558
Drug	91	45	10522
Drug	92	45	3669
Drug	93	45	880
Drug	94	45	5674
Control	24	60	1741
Control	25	60	3591
Control	26	60	382
Control	27	60	296
Control	28	60	976
Control	29	60	487
Control	30	60	344
Control	31	60	311
Control	32	60	2211
Control	33	60	332
Control	34	60	63
Control	35	60	506
Control	36	60	367
Control	37	60	816
Control	38	60	2765
Control	39	60	50
Control	40	60	2353
Control	41	60	1129
Control	42	60	2
Control	43	60	68
Control	44	60	260
Control	45	60	371
Control	46	60	659
Drug	71	60	10028
Drug	72	60	12
Drug	73	60	1901
Drug	74	60	5460
Drug	75	60	721
Drug	76	60	989
Drug	77	60	7044
Drug	78	60	1507
Drug	79	60	1713
Drug	80	60	1454
Drug	81	60	1167
Drug	82	60	60
Drug	83	60	47
Drug	84	60	684
Drug	85	60	7153
Drug	86	60	326
Drug	87	60	3310
Drug	88	60	266
Drug	89	60	560
Drug	90	60	1334
Drug	91	60	339
Drug	92	60	2
Drug	93	60	2541
Drug	94	60	141
Control	24	75	1013
Control	25	75	2967
Control	26	75	535
Control	27	75	202
Control	28	75	1022
Control	29	75	309
Control	30	75	540
Control	31	75	186
Control	32	75	1768
Control	33	75	463
Control	34	75	80
Control	35	75	912
Control	36	75	743
Control	37	75	554
Control	38	75	2422
Control	39	75	10
Control	40	75	755
Control	41	75	1700
Control	42	75	0
Control	43	75	168
Control	44	75	545
Control	45	75	441
Control	46	75	393
Drug	71	75	9937
Drug	72	75	10
Drug	73	75	2409
Drug	74	75	5241
Drug	75	75	1236
Drug	76	75	1540
Drug	77	75	6244
Drug	78	75	2132
Drug	79	75	2284
Drug	80	75	3503
Drug	81	75	756
Drug	82	75	63
Drug	83	75	98
Drug	84	75	1223
Drug	85	75	7669
Drug	86	75	329
Drug	87	75	3730
Drug	88	75	214
Drug	89	75	1202
Drug	90	75	288
Drug	91	75	126
Drug	92	75	7
Drug	93	75	4329
Drug	94	75	27
Control	24	90	722
Control	25	90	2681
Control	26	90	316
Control	27	90	446
Control	28	90	661
Control	29	90	311
Control	30	90	618
Control	31	90	154
Control	32	90	981
Control	33	90	262
Control	34	90	39
Control	35	90	600
Control	36	90	684
Control	37	90	1022
Control	38	90	1540
Control	39	90	0
Control	40	90	481
Control	41	90	830
Control	42	90	53
Control	43	90	83
Control	44	90	88
Control	45	90	1062
Control	46	90	537
Drug	71	90	4324
Drug	72	90	138
Drug	73	90	2421
Drug	74	90	5314
Drug	75	90	611
Drug	76	90	1685
Drug	77	90	5995
Drug	78	90	1388
Drug	79	90	2687
Drug	80	90	4397
Drug	81	90	865
Drug	82	90	220
Drug	83	90	72
Drug	84	90	1799
Drug	85	90	7705
Drug	86	90	70
Drug	87	90	2765
Drug	88	90	25
Drug	89	90	988
Drug	90	90	262
Drug	91	90	0
Drug	92	90	197
Drug	93	90	3323
Drug	94	90	438
